entity_type,entity_id,entity_name,current_price,valid_sprint_observations,base_points_variance,raw_alpha,raw_beta,alpha_standard_error,beta_standard_error,r_squared,adjusted_r_squared,condition_number,residual_standard_error,identifiable,reliability_flag,current_normal_baseline,raw_regression_adjustment,raw_candidate_sprint_ev,group_alpha,group_beta
constructor,mercedes,Mercedes,32.6,4,393.6666667,38.09525826,-0.2231160034,17.88081228,0.2309269077,0.3182195772,-0.02267063416,348.9790201,7.935960342,True,usable_but_uncertain,72.45454545,21.92948965,94.3840351,5.107181041,0.1650979121
constructor,mclaren,McLaren,31,4,2078.916667,14.20102618,0.1036196737,1.464076958,0.02800939243,0.872497904,0.808746856,69.20532545,2.211988457,True,usable_but_uncertain,42.45454545,18.60015232,61.05469778,5.107181041,0.1650979121
constructor,ferrari,Ferrari,26.6,4,303,-14.32948295,0.4823982398,25.04278868,0.3672650172,0.4631234333,0.19468515,308.4914553,11.07290323,True,usable_but_uncertain,63.18181818,16.14931493,79.33113311,5.107181041,0.1650979121
constructor,williams,Williams,13,3,399,15.56390977,-0.2230576441,8.803069683,0.4601438236,0.1902760095,-0.619447981,22.45768557,12.998554,True,usable_but_uncertain,9.2,13.51177945,22.71177945,5.107181041,0.1650979121
constructor,haas,Haas F1 Team,12,4,335.5833333,7.7330519,0.1244102309,3.60537962,0.1244159309,0.3333129717,-3.054250122e-05,52.97626469,3.947633378,True,usable_but_uncertain,15.72727273,9.689685532,25.41695826,5.107181041,0.1650979121
constructor,cadillac,Cadillac,3,4,190.9166667,7.476647752,-0.3090353557,2.626772672,0.1599343548,0.6511816425,0.4767724637,22.58214074,3.827580308,True,usable_but_uncertain,-6.727272727,9.555612873,2.828340145,5.107181041,0.1650979121
constructor,rb,Racing Bulls,12.9,4,389.6666667,1.721984602,0.1971770744,8.454221692,0.2753803531,0.2040373318,-0.1939440023,55.17241516,9.415431067,True,usable_but_uncertain,28.81818182,7.404269383,36.2224512,5.107181041,0.1650979121
constructor,alpine,Alpine,18.8,4,143,-1.566433566,0.3275058275,1.872263082,0.05646369004,0.94388859,0.9158328851,106.2558701,1.169493744,True,usable_but_uncertain,26.45454545,7.097584234,33.55212969,5.107181041,0.1650979121
constructor,aston_martin,Aston Martin,5.7,4,472.9166667,8.161409692,0.1496035242,6.401570214,0.3363429401,0.09001657836,-0.3649751325,19.23581307,12.66879339,True,usable_but_uncertain,-8.090909091,6.950981177,-1.139927913,5.107181041,0.1650979121
constructor,red_bull,Red Bull Racing,30.9,4,186.9166667,27.18546589,-0.6593847526,10.3655957,0.3058975782,0.6990896409,0.5486344613,97.05407247,7.24370374,True,usable_but_uncertain,43.36363636,-1.40785474,41.95578162,5.107181041,0.1650979121
constructor,audi,Audi,6.8,4,68.91666667,-6.027811366,0.2418379686,11.86023913,1.420107888,0.01429302415,-0.4785604638,9.738185682,20.41945275,True,high_residual_error,12.6,-2.980652963,9.619347037,5.107181041,0.1650979121
driver,bottas,Valtteri Bottas,3,4,14.25,6.807017544,-1.140350877,5.01536574,0.7582520275,0.5307122221,0.2960683331,13.61502385,4.957715943,True,extreme_slope,-5.545454545,13.1307815,7.585326954,4.229110908,0.09264269641
driver,russell,George Russell,27.9,4,337.6666667,9.506416584,0.07749259625,1.802496116,0.06540492446,0.4124182241,0.1186273362,47.76768555,2.081685759,True,usable_but_uncertain,23.1,11.29649556,34.39649556,4.229110908,0.09264269641
driver,norris,Lando Norris,26.1,4,646.25,8.521212121,0.1471308833,1.187547158,0.04758762128,0.8269770337,0.7404655506,28.29681793,2.095341922,True,usable_but_uncertain,16.90909091,11.0090616,27.91815251,4.229110908,0.09264269641
driver,leclerc,Charles Leclerc,23.9,4,151.3333333,8.897577093,0.06387665198,12.17017448,0.3939207319,0.01297669287,-0.4805349607,89.67652274,8.39337766,True,high_residual_error,24.2,10.44339207,34.64339207,4.229110908,0.09264269641
driver,antonelli,Kimi Antonelli,25.7,4,490.9166667,14.4729248,-0.1154303174,8.061449363,0.1864323867,0.1608455243,-0.2587317136,97.48449283,7.154608516,True,usable_but_uncertain,35.36363636,10.39088903,45.75452539,4.229110908,0.09264269641
driver,lawson,Liam Lawson,10.3,4,274.9166667,7.056986966,0.2052137011,2.158303311,0.1303284286,0.5535046839,0.3302570259,19.1165438,3.742831888,True,usable_but_uncertain,8.454545455,8.79197553,17.24652098,4.229110908,0.09264269641
driver,piastri,Oscar Piastri,24.4,4,356.9166667,7.079150128,0.04809712818,0.6368488655,0.03432411948,0.4954004203,0.2431006304,21.05431053,1.123164703,True,usable_but_uncertain,11.81818182,7.647570734,19.46575255,4.229110908,0.09264269641
driver,hamilton,Lewis Hamilton,25,4,96.25,3.714285714,0.1142857143,11.58428018,0.386411107,0.0419047619,-0.4371428571,105.8893112,6.566146946,True,usable_but_uncertain,28.72727273,6.997402597,35.72467532,4.229110908,0.09264269641
driver,albon,Alexander Albon,5.8,4,280.25,6.512042819,-0.1269699673,2.138675139,0.1224100245,0.3497817809,0.02467267129,21.07638311,3.549363041,True,usable_but_uncertain,-2.272727273,6.800610926,4.527883654,4.229110908,0.09264269641
driver,ocon,Esteban Ocon,10.7,4,27.66666667,4.861445783,0.1987951807,3.788979443,0.3596340134,0.1325301205,-0.3012048193,24.54645516,3.276421792,True,usable_but_uncertain,8.454545455,6.542168675,14.99671413,4.229110908,0.09264269641
driver,colapinto,Franco Colapinto,11.2,4,21.58333333,7.501930502,-0.1312741313,12.07319609,0.7654920939,0.01449130021,-0.4782630497,62.05872585,6.15971468,True,usable_but_uncertain,10.1,6.176061776,16.27606178,4.229110908,0.09264269641
driver,max_verstappen,Max Verstappen,27.6,4,578.9166667,7.574636534,-0.06823089103,4.362975886,0.1670363689,0.07700343416,-0.3844948488,32.75944165,6.961129198,True,usable_but_uncertain,22.27272727,6.054948506,28.32767578,4.229110908,0.09264269641
driver,stroll,Lance Stroll,3,4,163.3333333,5.25,0.02244897959,2.015659359,0.1821164161,0.007540115283,-0.4886898271,11.06797181,4.031318719,True,usable_but_uncertain,-9.181818182,5.043877551,-4.137940631,4.229110908,0.09264269641
driver,gasly,Pierre Gasly,13,3,277,4.484957882,-0.02527075812,0.9598197118,0.06461320702,0.1326714801,-0.7346570397,16.25042268,1.520814273,True,usable_but_uncertain,10.2,4.227196149,14.42719615,4.229110908,0.09264269641
driver,perez,Sergio Perez,3.8,4,200.6666667,3.965946844,-0.04318936877,3.276001522,0.2472894191,0.01502238914,-0.4774664163,14.31736065,6.067416106,True,usable_but_uncertain,-0.9090909091,4.005209906,3.096118997,4.229110908,0.09264269641
driver,alonso,Fernando Alonso,6.2,4,175.5833333,4.119601329,0.4318936877,3.770210857,0.3122923588,0.4888348953,0.2332523429,12.70941256,7.167432806,True,usable_but_uncertain,-0.4545454545,3.923286016,3.468740562,4.229110908,0.09264269641
driver,bearman,Oliver Bearman,7.6,4,136.9166667,3.313451004,0.05842970177,1.587340815,0.1023026857,0.1402312842,-0.2896530736,23.81456184,2.073365279,True,usable_but_uncertain,4.818181818,3.594975931,8.413157749,4.229110908,0.09264269641
driver,bortoleto,Gabriel Bortoleto,7.8,4,274.9166667,1.228250985,-0.3010003031,3.11887173,0.2118448745,0.5023416824,0.2535125235,15.09822872,6.083858757,True,usable_but_uncertain,5.818181818,-0.5230235057,5.295158312,4.229110908,0.09264269641
driver,hadjar,Isack Hadjar,14.5,4,333.5833333,0.5805645766,-0.1006744941,4.305948223,0.2413707262,0.08002331585,-0.3799650262,20.13390798,7.635674322,True,usable_but_uncertain,12.63636364,-0.6915949402,11.9447687,4.229110908,0.09264269641
driver,arvid_lindblad,Arvid Lindblad,8,4,211.5833333,-1.70303269,-0.09137455691,3.910481332,0.300584013,0.04416436917,-0.4337534462,13.44058952,7.572987379,True,usable_but_uncertain,6.545454545,-2.301120699,4.244333847,4.229110908,0.09264269641
driver,hulkenberg,Nico Hulkenberg,3,4,164.25,-2.049213597,0.1648909183,3.286359517,0.276516368,0.1509564745,-0.2735652882,12.73798023,6.138102837,True,usable_but_uncertain,-1.909090909,-2.36400535,-4.273096259,4.229110908,0.09264269641
driver,sainz,Carlos Sainz,10,2,0.5,,,,,,,,,False,insufficient_observations,5.222222222,,,4.229110908,0.09264269641
